subhalo_id,simulation,snapshot,redshift,n_stellar_particles,n_disk_particles,M_star_Msun,R_d_kpc,aperture_R_in_kpc,aperture_R_out_kpc,A1_literature,A2_literature,A1_integral_area,A1_integral_jog,A2_integral_area,A2_integral_jog,A1_bootstrap_mean,A1_bootstrap_std,A2_bootstrap_mean,A2_bootstrap_std,dominant_mode,bar_length_kpc,bar_angle_deg,pattern_coherence,phase_scatter_m2_deg,bar_length_bootstrap_mean,bar_length_bootstrap_std,v_max_kms,R_v_max_kpc
630155,L35n2160TNG,99,2.22045e-16,167646,155068,9.99751e+09,2.1858,nan,nan,0.107979,0.136647,0.115169,0.0999873,0.136468,0.136357,0.109671,0.00687369,0.138519,0.00737819,1,14.8125,-2.04701,0.5,46.5364,14.6109,1.07856,122.507,4.23701
630290,L35n2160TNG,99,2.22045e-16,107639,82738,6.44831e+09,2.88566,nan,nan,0.210416,0.133692,0.227177,0.200413,0.137655,0.131727,0.217209,0.0139094,0.140309,0.0141115,2,14.8125,-25.9039,0.764706,40.4539,14.8125,0,94.8027,8.69
630396,L35n2160TNG,99,2.22045e-16,53896,48629,3.32819e+09,1.61845,nan,nan,0.158301,0.135474,0.154117,0.162404,0.136272,0.134622,0.161566,0.0128819,0.140744,0.011957,1,14.4375,19.2038,0.192308,51.9763,14.8069,0.0455822,79.1048,4.23429
630555,L35n2160TNG,99,2.22045e-16,126105,112291,7.40305e+09,1.46118,nan,nan,0.0894018,0.0563605,0.0896627,0.089038,0.0591153,0.052495,0.0936703,0.0117486,0.0628294,0.011711,2,14.8125,-0.8505,0.545455,38.5879,14.805,0.0645174,86.1994,0.723789
630760,L35n2160TNG,99,2.22045e-16,197426,185549,1.17207e+10,2.36529,nan,nan,0.13027,0.0477418,0.141315,0.125699,0.048024,0.0473232,0.132141,0.0081378,0.0540311,0.00798556,1,14.0625,34.0801,0.555556,44.4368,14.6269,0.295269,125.169,6.02669
630870,L35n2160TNG,99,2.22045e-16,218908,210750,1.25943e+10,1.73926,nan,nan,0.199637,0.175549,0.199722,0.198975,0.168752,0.184072,0.200089,0.00590558,0.17664,0.00596361,1,13.3125,-30.0617,0.428571,52.1537,14.7375,0.221853,129.549,5.59734
630975,L35n2160TNG,99,2.22045e-16,269689,245237,1.57654e+10,3.20423,nan,nan,0.0449179,0.0529057,0.0458496,0.0443582,0.0521393,0.0533473,0.0492034,0.00532009,0.056201,0.00526897,2,12.1875,-33.8239,0.111111,47.7793,14.6625,0.564994,127.485,8.69
631108,L35n2160TNG,99,2.22045e-16,141369,126927,8.38716e+09,1.34213,nan,nan,0.0961107,0.1173,0.101867,0.0889676,0.124837,0.107981,0.0977981,0.00835197,0.117954,0.00805904,3,12.9375,-6.27267,0.166667,59.3413,14.7562,0.166654,110.808,1.93319
631253,L35n2160TNG,99,2.22045e-16,173330,155363,1.03845e+10,3.3528,nan,nan,0.118183,0.0864585,0.123652,0.118622,0.082492,0.0861716,0.123059,0.00781255,0.0919142,0.00758342,1,14.8125,25.7896,1,50.8045,14.8125,0,126.129,9.47
631363,L35n2160TNG,99,2.22045e-16,56979,51619,3.44822e+09,2.38273,nan,nan,0.161641,0.0861716,0.163146,0.160376,0.0887491,0.0849746,0.166546,0.0139389,0.0950436,0.0134746,1,14.4375,2.18148,0.833333,46.9963,14.58,0.26927,55.9879,6.81102
631558,L35n2160TNG,99,2.22045e-16,207615,200790,1.23102e+10,2.24118,nan,nan,0.0487947,0.0592218,0.0502808,0.047366,0.0584473,0.059408,0.0536962,0.00668965,0.0647493,0.00761157,2,14.8125,-34.5002,0.380952,43.0339,14.8125,0,133.031,11.3062
631677,L35n2160TNG,99,2.22045e-16,210995,202410,1.25166e+10,1.55309,nan,nan,0.151723,0.0836822,0.15396,0.149946,0.0778706,0.0878176,0.152751,0.00700557,0.0850828,0.00672616,1,14.4375,40.5359,0.625,38.9409,14.7375,0.15,141.721,5.50839
631927,L35n2160TNG,99,2.22045e-16,94184,75314,5.64786e+09,2.19102,nan,nan,0.0873993,0.142738,0.0910329,0.0818307,0.135964,0.152775,0.0981658,0.0141509,0.150938,0.0133602,2,3.1875,-5.41374,0.526316,47.0007,14.4694,0.117259,107.248,13.782
632099,L35n2160TNG,99,2.22045e-16,58188,48494,3.52819e+09,2.60071,nan,nan,0.0663515,0.175459,0.066786,0.0667538,0.173977,0.176404,0.0899283,0.0159057,0.18331,0.0185147,2,14.4375,-19.857,0,65.4628,14.8125,0,96.6596,16.49
632310,L35n2160TNG,99,2.22045e-16,179052,171573,1.07184e+10,2.47951,nan,nan,0.0948926,0.0760725,0.091408,0.0952221,0.0804523,0.0756268,0.096391,0.00626084,0.0796632,0.00595988,1,11.8125,-13.8792,0.214286,61.4332,14.4525,0.504288,125.279,6.30082
632458,L35n2160TNG,99,2.22045e-16,95672,86206,5.82094e+09,2.98779,nan,nan,0.233619,0.16402,0.241811,0.230316,0.168347,0.163217,0.236017,0.0105683,0.16813,0.0106396,1,8.0625,48.0444,0,71.167,14.5162,0.425241,95.4755,9.47
632626,L35n2160TNG,99,2.22045e-16,61693,55997,3.82036e+09,2.40585,nan,nan,0.111047,0.122821,0.117474,0.105424,0.121679,0.124118,0.119411,0.0151308,0.131434,0.016137,2,14.8125,10.616,0.375,24.9178,14.8125,0,86.4417,15.1225
632978,L35n2160TNG,99,2.22045e-16,141080,127615,8.51019e+09,3.58419,nan,nan,0.0862677,0.147925,0.0853561,0.0864391,0.141694,0.146498,0.0962733,0.00940024,0.151981,0.00919281,1,14.8125,28.0575,0.428571,57.7925,14.8106,0.0264501,115.343,16.49
633322,L35n2160TNG,99,2.22045e-16,187797,177542,1.12038e+10,3.91359,nan,nan,0.183371,0.0852344,0.188818,0.18264,0.0866849,0.0851891,0.184916,0.00728836,0.0894067,0.00636691,1,2.0625,5.35491,0,50.4044,12.1613,3.84855,116.875,17.27
633437,L35n2160TNG,99,2.22045e-16,212496,196305,1.24823e+10,1.86046,nan,nan,0.0718613,0.0417831,0.0740513,0.0689742,0.040242,0.0437952,0.0739955,0.00735799,0.0475698,0.00783187,2,14.0625,14.1167,0.333333,43.3365,14.7619,0.133521,136.618,7.69183
